ID	SLNO	SALIST	SOURCE_CONCEPT	CONCEPTICON_ID	CONCEPTICON_NAME	FORM	TOKENS	BORROWED	TONES	SOURCE	PAGE	DOCULECT	SPEAKER	GLOTTOCODE	NOTES
46	12	wind	wind	4497	WIND	ʒy³³ na²¹	ʒ y ³³ + n a ²¹	0	33 21	nawsawu2016makyam	156	Khalai	kl2	maky1236	
47	12	wind	wind	4497	WIND	zy³³ na³¹	z y ³³ + n a ³¹	0	33 31	nawsawu2016makyam	156	Santong	st1	maky1236	
48	12	wind	wind	4497	WIND	ʒy³³ na²¹	ʒ y ³³ + n a ²¹	0	33 21	nawsawu2016makyam	156	Santong	st2	maky1236	
49	13	night.time	night	1988	NIGHT	ʒuan³³ ʒi³³	ʒ ua n ³³ + ʒ i ³³	0	33 33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
50	13	night.time	night	1988	NIGHT	ʒuan³³ ʒi⁴⁴	ʒ ua n ³³ + ʒ i ⁴⁴	0	33 44	nawsawu2016makyam	156	Khalai	kl2	maky1236	
51	13	night.time	night	1988	NIGHT	ruan³³ ri⁴⁴	r ua n ³³ + r i ⁴⁴	0	33 44	nawsawu2016makyam	156	Santong	st1	maky1236	
52	13	night.time	night	1988	NIGHT	ruan³³ ri⁴⁴	r ua n ³³ + r i ⁴⁴	0	33 44	nawsawu2016makyam	156	Santong	st2	maky1236	
53	14		day	751	DAY	ʒuan³³ ɲɛ³³	ʒ ua n ³³ + ɲ ɛ ³³	0	33 33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
54	14		day	751	DAY	ʒuan³³ ɲu⁵²	ʒ ua n ³³ + ɲ u ⁵²	0	33 52	nawsawu2016makyam	156	Khalai	kl2	maky1236	
55	14		day	751	DAY	ruan³³ ŋia⁴⁴	r ua n ³³ + ŋ ia ⁴⁴	0	33 44	nawsawu2016makyam	156	Santong	st1	maky1236	
56	14		day	751	DAY	ruan³³ ŋia⁴⁴	r ua n ³³ + ŋ ia ⁴⁴	0	33 44	nawsawu2016makyam	156	Santong	st2	maky1236	
57	15	morning	morning	1890	MORNING	vuat³¹ pi³³	v ua t ³¹ + p i ³³	0	31 33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
58	15	morning	morning	1890	MORNING	wat²¹ pi³³	w a t ²¹ + p i ³³	0	21 33	nawsawu2016makyam	156	Khalai	kl2	maky1236	
