NUMBER,ENGLISH,PAGE,CONCEPTICON_ID,CONCEPTICON_GLOSS
507,groan (with pain),188,,
508,grunt (from effort),188,,
509,"perspire, sweat (v)",188,,
510,bleed,188,,
511,(be) dizzy,188,,
512,faint,188,,
513,wake up (intr),188,,
514,notice (v),188,,
515,feel (passive),188,,
516,taste,188,,
517,chew,188,,
518,choke,188,,
519,lie down,188,,
520,turn round (intr),188,,
521,step (v),188,,
522,stumble,189,,
523,limp,189,,
524,run,189,,
525,jump (v),189,,
526,stamp (with foot),189,,
527,trample,189,,
528,wave (hand as a greeting) (v),189,,
529,"indicate, point (as with the finger)",189,,
530,clap (hands),189,,
531,slap (v),189,,
532,straddle,189,,
533,lean against (intr),189,,
534,bow (as in greeting),189,,
535,(be) seated,189,,
536,squat,190,,
537,(be) sleepy,190,,
538,rest,190,,
539,"(be) awake, alert",190,,
540,wrinkle (on skin),190,,
541,pimple,190,2201,PIMPLE
542,hump (back of animal),190,,
543,barren woman,190,,
544,blind person,190,311,BLOND PERSON
545,deaf (mute) person,190,,
546,cripple (n),190,,
547,dwarf,190,865,DWARF
548,senile person,190,,
549,mad person,190,179,BAD PERSON
550,"(be) healthy, (be) well",190,,
551,"(be) sick, (be) ill",191,,
552,hurt oneself,191,,
553,"heal (tr), cure (v)",191,,
554,"get well, recover",191,,
555,revive,191,,
556,abscess,191,13,ABSCESS
557,swelling,191,,
558,tumour,191,,
559,bruise (n),191,,
560,burn (n),191,,
561,goiter,191,,
562,"wound, sore",191,,
563,scar,191,2521,SCAR
564,intestinal worm,191,1534,INTESTINAL WORM
565,"illness, disease",191,,
566,elephantiasis,192,,
567,ringworm,192,,
568,leprosy,192,1655,LEPROSY
569,malaria (fever),192,,
570,fever (not malaria),192,,
571,"stomachache, upset stomach",192,,
572,headache,192,,
573,diarrhea,192,,
574,scabies (the itch),192,,
575,life,192,1665,LIFE
576,(be) alive,192,,
577,menstrual period,192,,
578,(be) pregnant,192,,
579,miscarriage,192,,
580,"labour (n), birth pains",192,,
581,"bear (child), give birth",193,,
582,(be) born,193,,
583,(be) young,193,,
584,grow up,193,,
585,death,193,758,DEATH
586,(be) dead,193,,
587,believe,193,,
588,hope (v),193,,
589,knowledge,193,1597,KNOWLEDGE
590,wisdom,193,,
591,(be) wise,193,,
592,(be) intelligent,193,,
593,(be) stupid,193,,
594,(be) confused,193,,
595,learn,193,,
596,teach,194,,
597,show,194,,
598,remember,194,,
599,"(be) happy, (be) joyful",194,,
600,rejoice,194,,
601,(be) sad,194,,
602,sorrow (n),194,,
603,shame (n),194,,
604,pity (n),194,,
605,fear (n),194,,
606,frighten,194,,
607,"startle, surprise",194,,
608,(be) proud,194,,
609,respect (v),194,,
610,honour (v),194,,
611,"despise, disdain",195,,
612,disgusting,195,804,DISGUSTING
613,"want, desire (v)",195,,
614,decide,195,,
615,hesitate,195,,
616,abstain,195,,
617,"allow, permit",195,,
618,forbid,195,,
619,prevent,195,,
620,plan (n),195,,
621,try,195,,
622,succeed,195,,
623,fail,195,,
624,pretend,195,,
625,(be) kind,195,,
626,(be) generous,195,,
627,(be) selfish,196,,
628,(be) honest,196,,
629,(be) corrupt,196,,
630,(be) wicked,196,,
631,(be) fierce,196,,
632,(be) jealous,196,,
633,(be) shy,196,,
634,"(be) courageous, (be) brave",196,,
635,coward,196,685,COWARD
636,(be) curious,196,,
637,"(be) eager, (be) zealous",196,,
638,(be) lazy,196,,
639,(be) patient,196,,
640,(be) impatient,196,,
641,"(be) restless, (be) unsettled",197,,
642,(be) stubborn,197,,
643,reputation,197,2389,REPUTATION
644,"hardship, distress",197,,
645,suffer,197,,
646,obstruct,197,,
647,"stumbling block, obstruction",197,,
648,danger,197,740,DANGER
649,"problem, trouble",197,,
650,self,197,2551,SELF
651,white man,197,,
652,fetus,197,1043,FETUS
653,baby,197,166,BABY
654,twin,197,4309,TWIN
655,boy,198,349,BOY
656,girl,198,1212,GIRL
657,adult,198,,
658,young man,198,,
659,young woman,198,,
660,virgin,198,4397,VIRGIN
661,divorced man,198,,
662,divorced woman,198,,
663,old person,198,,
664,relative (by blood),198,,
665,ancestor,198,76,ANCESTOR
666,grandparent,198,1254,GRANDPARENT
667,father’s younger brother (uncle),198,,
668,father’s older brother (uncle,198,,
669,mother’s younger brother (uncle),198,,
670,mother’s older brother (uncle),199,,
671,mother’s younger sister (aunt),199,,
672,mother’s older sister (aunt),199,,
673,father’s younger sister (aunt),199,,
674,father’s older sister (aunt),199,,
675,cousin,199,,
676,firstborn,199,1076,FIRSTBORN
677,descendant,199,777,DESCENDANT
678,son,199,2728,SON
679,daughter,199,747,DAUGHTER
680,grandchild,199,1250,GRANDCHILD
681,nephew,199,1970,NEPHEW
682,niece,199,1987,NIECE
683,"in-law, relative by marriage",199,,
684,father-in-law,200,1021,FATHER-IN-LAW
685,mother-in-law,200,1901,MOTHER-IN-LAW
686,brother-in-law,200,384,BROTHER-IN-LAW
687,sister-in-law,200,2658,SISTER-IN-LAW
688,daughter-in-law,200,749,DAUGHTER-IN-LAW
689,widower,200,,
690,orphan,200,2081,ORPHAN
691,fiancé (betrothed boyfriend),200,,
692,fiancée (betrothed girlfriend),200,,
693,boyfriend,200,,
694,girlfriend,200,,
695,"tribe, ethnic group",200,,
696,clan,200,,
697,family,200,1002,FAMILY
698,neighbour,201,1968,NEIGHBOUR
699,acquaintance,201,,
700,host,201,1426,HOST
701,"guest, visitor",201,,
702,stranger (unknown person),201,,
703,enemy,201,922,ENEMY
704,traitor,201,4264,TRAITOR
705,thief,201,3007,THIEF
706,guide (n),201,,
707,messenger,201,1820,MESSENGER
708,crowd,201,,
709,"chief, headman",201,,
710,elder,201,901,ELDER
711,master,201,,
712,slave,201,2676,SLAVE
713,farmer,202,1012,FARMER
714,fisherman,202,1079,FISHERMAN
715,hunter,202,1448,HUNTER
716,blacksmith,202,300,BLACKSMITH
717,potter,202,,
