ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,SLNO,Borrowed,Tones,Page,Speaker,Notes
77,Khalai,east,ŋaʔ³¹,ŋ a ʔ ³¹,,nawsawu2016makyam,20,false,31,156,kl1,
78,Khalai,east,ŋaʔ⁵²,ŋ a ʔ ⁵²,,nawsawu2016makyam,20,false,52,156,kl2,
79,Santong,east,ŋaʔ³¹ luom⁴⁴,ŋ a ʔ ³¹ + l uo m ⁴⁴,,nawsawu2016makyam,20,false,31 44,156,st1,
80,Santong,east,ŋaʔ²¹ luom⁴⁴,ŋ a ʔ ²¹ + l uo m ⁴⁴,,nawsawu2016makyam,20,false,21 44,156,st2,
81,Khalai,west,θy³³,θ y ³³,,nawsawu2016makyam,21,false,33,156,kl1,
82,Khalai,west,θy⁴⁴,θ y ⁴⁴,,nawsawu2016makyam,21,false,44,156,kl2,
83,Santong,west,θə⁴⁴ luom⁴⁴,θ ə ⁴⁴ + l uo m ⁴⁴,,nawsawu2016makyam,21,false,44 44,156,st1,
84,Santong,west,θy⁴⁴ luom⁴⁴,θ y ⁴⁴ + l uo m ⁴⁴,,nawsawu2016makyam,21,false,44 44,156,st2,
85,Khalai,water,tʰi⁴⁴,tʰ i ⁴⁴,,nawsawu2016makyam,22,false,44,156,kl1,
86,Khalai,water,tʰi⁴⁴,tʰ i ⁴⁴,,nawsawu2016makyam,22,false,44,156,kl2,
87,Santong,water,tʰi⁴⁴,tʰ i ⁴⁴,,nawsawu2016makyam,22,false,44,156,st1,
88,Santong,water,tʰi⁴⁴,tʰ i ⁴⁴,,nawsawu2016makyam,22,false,44,156,st2,
89,Khalai,to be hot (water),tʰi⁴⁴ tʰak³³ kɔ⁴⁴,tʰ i ⁴⁴ + tʰ a k ³³ + k ɔ ⁴⁴,,nawsawu2016makyam,23,false,44 33 44,156,kl1,
90,Khalai,to be hot (water),tʰi⁴⁴ tʰak⁵² kɔ³³,tʰ i ⁴⁴ + tʰ a k ⁵² + k ɔ ³³,,nawsawu2016makyam,23,false,44 52 33,156,kl2,
91,Santong,to be hot (water),tʰak⁵² kɔ⁴⁴,tʰ a k ⁵² + k ɔ ⁴⁴,,nawsawu2016makyam,23,false,52 44,156,st1,
92,Santong,to be hot (water),tʰak⁴² kɔ⁴⁴,tʰ a k ⁴² + k ɔ ⁴⁴,,nawsawu2016makyam,23,false,42 44,156,st2,
93,Khalai,to be hot (person),xuan³³ kɔ³³,x ua n ³³ + k ɔ ³³,,nawsawu2016makyam,24,false,33 33,156,kl1,
94,Khalai,to be hot (person),xuan³³ lə²¹ kɔ³³,x ua n ³³ + l ə ²¹ + k ɔ ³³,,nawsawu2016makyam,24,false,33 21 33,156,kl2,
95,Santong,to be hot (person),vɔk⁴⁴ kɔ³¹,v ɔ k ⁴⁴ + k ɔ ³¹,,nawsawu2016makyam,24,false,44 31,156,st1,
96,Santong,to be hot (person),vɔk⁴² kɔ⁴⁴,v ɔ k ⁴² + k ɔ ⁴⁴,,nawsawu2016makyam,24,false,42 44,156,st2,
97,Khalai,to be warm (water),lam³³ kɔ⁴⁴,l a m ³³ + k ɔ ⁴⁴,,nawsawu2016makyam,25,false,33 44,156,kl1,
98,Khalai,to be warm (water),lam³⁵ lə⁴⁴ kɔ²¹,l a m ³⁵ + l ə ⁴⁴ + k ɔ ²¹,,nawsawu2016makyam,25,false,35 44 21,156,kl2,
99,Santong,to be warm (water),lam³³ kɔ³¹,l a m ³³ + k ɔ ³¹,,nawsawu2016makyam,25,false,33 31,156,st1,
100,Santong,to be warm (water),lam³³ kɔ⁴⁴,l a m ³³ + k ɔ ⁴⁴,,nawsawu2016makyam,25,false,33 44,156,st2,
101,Khalai,to be cold (person),sak⁴⁴ kɔ⁴⁴,s a k ⁴⁴ + k ɔ ⁴⁴,,nawsawu2016makyam,26,false,44 44,156,kl1,
102,Khalai,to be cold (person),sak⁴⁴ lə⁴⁴ kɔ²¹,s a k ⁴⁴ + l ə ⁴⁴ + k ɔ ²¹,,nawsawu2016makyam,26,false,44 44 21,156,kl2,
103,Santong,to be cold (person),sak⁵² kɔ³¹,s a k ⁵² + k ɔ ³¹,,nawsawu2016makyam,26,false,52 31,156,st1,
104,Santong,to be cold (person),sak⁴² kɔ⁴⁴,s a k ⁴² + k ɔ ⁴⁴,,nawsawu2016makyam,26,false,42 44,156,st2,
105,Khalai,to be cool (water),ŋeiʔ⁵² lə³¹ kɔ³³,ŋ ei ʔ ⁵² + l ə ³¹ + k ɔ ³³,,nawsawu2016makyam,27,false,52 31 33,157,kl1,
106,Khalai,to be cool (water),ŋeiʔ⁵² lə⁴⁴ kɔ²¹,ŋ ei ʔ ⁵² + l ə ⁴⁴ + k ɔ ²¹,,nawsawu2016makyam,27,false,52 44 21,157,kl2,
107,Santong,to be cool (water),ŋeʔ⁵² kɔ³¹,ŋ e ʔ ⁵² + k ɔ ³¹,,nawsawu2016makyam,27,false,52 31,157,st1,
108,Santong,to be cool (water),ŋeʔ⁴² kɔ⁴²,ŋ e ʔ ⁴² + k ɔ ⁴²,,nawsawu2016makyam,27,false,42 42,157,st2,
109,Khalai,stream,tʰi³³ loŋ³¹,tʰ i ³³ + l o ŋ ³¹,,nawsawu2016makyam,28,false,33 31,157,kl1,
110,Khalai,stream,tʰi³³ loŋ²¹,tʰ i ³³ + l o ŋ ²¹,,nawsawu2016makyam,28,false,33 21,157,kl2,
111,Santong,stream,tʰi³³ loŋ³¹,tʰ i ³³ + l o ŋ ³¹,,nawsawu2016makyam,28,false,33 31,157,st1,
112,Santong,stream,tʰi³³ loŋ²¹,tʰ i ³³ + l o ŋ ²¹,,nawsawu2016makyam,28,false,33 21,157,st2,
113,Khalai,river,tʰi³³ pi³¹,tʰ i ³³ + p i ³¹,,nawsawu2016makyam,29,false,33 31,157,kl1,
114,Khalai,river,tʰi³³ pi²¹,tʰ i ³³ + p i ²¹,,nawsawu2016makyam,29,false,33 21,157,kl2,
115,Santong,river,tʰi³³ pi³¹,tʰ i ³³ + p i ³¹,,nawsawu2016makyam,29,false,33 31,157,st1,
116,Santong,river,tʰi³³ pi²¹,tʰ i ³³ + p i ²¹,,nawsawu2016makyam,29,false,33 21,157,st2,
117,Khalai,sea,pin³³ lɛ³³**,p i n ³³ + l ɛ ³³ * *,,nawsawu2016makyam,30,true,33 33,157,kl1,
118,Khalai,sea,pin³³ lɛ³³**,p i n ³³ + l ɛ ³³ * *,,nawsawu2016makyam,30,true,33 33,157,kl2,
119,Santong,sea,tʰi³³ pi³¹,tʰ i ³³ + p i ³¹,,nawsawu2016makyam,30,false,33 31,157,st1,
120,Santong,sea,tʰi³³ pi²¹,tʰ i ³³ + p i ²¹,,nawsawu2016makyam,30,false,33 21,157,st2,
121,Khalai,soil (earth),haʔ³¹ pi³³,h a ʔ ³¹ + p i ³³,,nawsawu2016makyam,31,false,31 33,157,kl1,
122,Khalai,soil (earth),haʔ²¹ pi³³,h a ʔ ²¹ + p i ³³,,nawsawu2016makyam,31,false,21 33,157,kl2,
123,Santong,soil (earth),haʔ³¹ pi⁴⁴,h a ʔ ³¹ + p i ⁴⁴,,nawsawu2016makyam,31,false,31 44,157,st1,
124,Santong,soil (earth),haʔ²¹ pi⁴⁴,h a ʔ ²¹ + p i ⁴⁴,,nawsawu2016makyam,31,false,21 44,157,st2,
125,Khalai,mud,tʰim³³ pʰə³³ laiŋ⁴⁴,tʰ i m ³³ + pʰ ə ³³ + l ai ŋ ⁴⁴,,nawsawu2016makyam,32,false,33 33 44,157,kl1,
126,Khalai,mud,tʰim³³ pʰə³³ laiŋ⁴⁴,tʰ i m ³³ + pʰ ə ³³ + l ai ŋ ⁴⁴,,nawsawu2016makyam,32,false,33 33 44,157,kl2,
127,Santong,mud,tʰim³³ pʰə⁴⁴ leiŋ⁴⁴,tʰ i m ³³ + pʰ ə ⁴⁴ + l ei ŋ ⁴⁴,,nawsawu2016makyam,32,false,33 44 44,157,st1,
128,Santong,mud,tʰim³³ pʰə³³ leiŋ⁴⁴,tʰ i m ³³ + pʰ ə ³³ + l ei ŋ ⁴⁴,,nawsawu2016makyam,32,false,33 33 44,157,st2,
129,Khalai,dust,ha³³ ɲak⁴⁴ kʰɔk³¹,h a ³³ + ɲ a k ⁴⁴ + kʰ ɔ k ³¹,,nawsawu2016makyam,33,false,33 44 31,157,kl1,
130,Khalai,dust,ha³³ ɲak⁵² kʰɔk⁵²,h a ³³ + ɲ a k ⁵² + kʰ ɔ k ⁵²,,nawsawu2016makyam,33,false,33 52 52,157,kl2,
131,Santong,dust,haʔ³¹ ɲak⁵² kʰɔʔ³¹,h a ʔ ³¹ + ɲ a k ⁵² + kʰ ɔ ʔ ³¹,,nawsawu2016makyam,33,false,31 52 31,157,st1,
132,Santong,dust,haʔ²¹ ɲak⁴²,h a ʔ ²¹ + ɲ a k ⁴²,,nawsawu2016makyam,33,false,21 42,157,st2,
133,Khalai,stone,loŋ³³ pʰa³¹,l o ŋ ³³ + pʰ a ³¹,,nawsawu2016makyam,34,false,33 31,157,kl1,
134,Khalai,stone,loŋ³³ pʰa³³,l o ŋ ³³ + pʰ a ³³,,nawsawu2016makyam,34,false,33 33,157,kl2,
135,Santong,stone,loŋ⁴⁴,l o ŋ ⁴⁴,,nawsawu2016makyam,34,false,44,157,st1,
136,Santong,stone,loŋ³³ pʰa²¹,l o ŋ ³³ + pʰ a ²¹,,nawsawu2016makyam,34,false,33 21,157,st2,
137,Khalai,sand,huom³³ haʔ⁵²,h uo m ³³ + h a ʔ ⁵²,,nawsawu2016makyam,35,false,33 52,157,kl1,
138,Khalai,sand,hom³³ haʔ⁵²,h o m ³³ + h a ʔ ⁵²,,nawsawu2016makyam,35,false,33 52,157,kl2,
139,Santong,sand,hom³³ haʔ⁵²,h o m ³³ + h a ʔ ⁵²,,nawsawu2016makyam,35,false,33 52,157,st1,
140,Santong,sand,hom³³ haʔ⁴²,h o m ³³ + h a ʔ ⁴²,,nawsawu2016makyam,35,false,33 42,157,st2,
141,Khalai,lime (for betel chew),tʰon⁴⁴ ɲak⁵²,tʰ o n ⁴⁴ + ɲ a k ⁵²,,nawsawu2016makyam,36,false,44 52,157,kl1,
142,Khalai,lime (for betel chew),tʰon⁴⁴ ɲak⁵²,tʰ o n ⁴⁴ + ɲ a k ⁵²,,nawsawu2016makyam,36,false,44 52,157,kl2,
145,Khalai,gold,tʃa⁴⁴,tʃ a ⁴⁴,,nawsawu2016makyam,37,false,44,157,kl1,
146,Khalai,gold,tʃa⁴⁴,tʃ a ⁴⁴,,nawsawu2016makyam,37,false,44,157,kl2,
147,Santong,gold,ʃuɛ³³**,ʃ uɛ ³³ * *,,nawsawu2016makyam,37,true,33,157,st1,
148,Santong,gold,ʃuɛ³³**,ʃ uɛ ³³ * *,,nawsawu2016makyam,37,true,33,157,st2,
149,Khalai,silver,taŋ³³ ka³¹,t a ŋ ³³ + k a ³¹,,nawsawu2016makyam,38,false,33 31,157,kl1,
150,Khalai,silver,taŋ³⁵ ka²¹,t a ŋ ³⁵ + k a ²¹,,nawsawu2016makyam,38,false,35 21,157,kl2,
151,Santong,silver,taŋ²⁴ ka³¹,t a ŋ ²⁴ + k a ³¹,,nawsawu2016makyam,38,false,24 31,157,st1,
152,Santong,silver,taŋ³³ ka²¹,t a ŋ ³³ + k a ²¹,,nawsawu2016makyam,38,false,33 21,157,st2,
153,Khalai,iron,ʒy³³,ʒ y ³³,,nawsawu2016makyam,39,false,33,157,kl1,
154,Khalai,iron,ʒy³³,ʒ y ³³,,nawsawu2016makyam,39,false,33,157,kl2,
155,Santong,iron,re³³,r e ³³,,nawsawu2016makyam,39,false,33,157,st1,
156,Santong,iron,ry³³,r y ³³,,nawsawu2016makyam,39,false,33,157,st2,
157,Khalai,mountain,ku³³ pʰɔŋ³³,k u ³³ + pʰ ɔ ŋ ³³,,nawsawu2016makyam,40,false,33 33,157,kl1,
158,Khalai,mountain,ku³³ pʰɔŋ³³,k u ³³ + pʰ ɔ ŋ ³³,,nawsawu2016makyam,40,false,33 33,157,kl2,
159,Santong,mountain,ku⁴⁴,k u ⁴⁴,,nawsawu2016makyam,40,false,44,157,st1,
160,Santong,mountain,ku³³,k u ³³,,nawsawu2016makyam,40,false,33,157,st2,
161,Khalai,cave (natural),loŋ³³ ku³¹,l o ŋ ³³ + k u ³¹,,nawsawu2016makyam,41,false,33 31,157,kl1,
162,Khalai,cave (natural),loŋ⁴⁴ ku²¹,l o ŋ ⁴⁴ + k u ²¹,,nawsawu2016makyam,41,false,44 21,157,kl2,
